0,0.13700012099980086,13345.272845839,13345.135845718
1,0.17300015300133964,13345.305845868,13345.132845715
2,0.7140006390000053,13345.846846354,13345.132845715
3,0.8050007150013698,13345.93784643,13345.132845715
4,0.852000755001427,13345.98484647,13345.132845715
5,1.0350009180001507,13346.22384668,13345.188845762
6,1.1050009770006,13346.237846692,13345.132845715
7,1.1670010310008365,13346.299846746,13345.132845715
8,1.1750010370014934,13346.307846752,13345.132845715
9,1.2690011209997465,13346.401846836,13345.132845715
10,1.3950012320001406,13346.527846947,13345.132845715
11,1.4280012610015547,13346.560846976,13345.132845715
12,1.6020014130008349,13346.734847128,13345.132845715
13,1.641001451000193,13346.773847166,13345.132845715
14,1.7370015310007147,13346.869847246,13345.132845715
15,1.742001534999872,13346.87484725,13345.132845715
16,1.9380017109997425,13347.070847426,13345.132845715
17,2.0040017690007517,13347.136847484,13345.132845715
