0,0.13700012099980086
1,0.17300015300133964
2,0.7140006390000053
3,0.8050007150013698
4,0.852000755001427
5,1.0350009180001507
6,1.1050009770006
7,1.1670010310008365
8,1.1750010370014934
9,1.2690011209997465
10,1.3950012320001406
11,1.4280012610015547
12,1.6020014130008349
13,1.641001451000193
14,1.7370015310007147
15,1.742001534999872
16,1.9380017109997425
17,2.0040017690007517
18,2.0720018290012376
0,0.11499844399986614
1,0.20499722100021245
2,0.7449899150001329
3,0.8149889720002648
4,0.8469885370000156
5,1.0329860169999847
6,1.1149849060002452
7,1.2639828989999842
8,1.2809826679999787
9,1.3709814449998703
10,1.5379791840000507
11,1.5629788470000676
12,1.8209753539999838
13,1.8659747480000988
14,1.9899730649999583
15,2.0159727149998616
16,2.1169713489998685
17,2.177970524000102
18,2.2789691550001407
19,2.6749637980001353
20,2.795962158999828
21,2.898960769000041
22,3.183956909000244
23,3.390954110000166
24,3.5759516030002487
25,3.6099511450001955
26,3.8079484690001664
27,3.8269482109999444
28,4.68893654600015
29,4.7169361659998685
30,4.9319332509999185
31,5.126930616000209
0,0.17599727299966617
1,0.2219965599997522
2,0.7829878659999849
3,0.8649865949996638
4,0.8769864089999828
5,1.052983681999649
6,1.1269825350000247
7,1.1829816669996944
8,1.1889815740000813
9,1.2829801170000792
10,1.4029782580000756
11,1.4189780100000462
12,1.6309747239997705
13,1.699973654999667
14,1.8309716250000747
15,1.8439714239998466
16,1.9379699669998445
17,2.0039689440000075
18,2.075967827999648
19,2.3419637059996603
20,2.4649617999998554
21,2.560960311999679
22,2.8479558639996867
23,3.0829522229996655
24,3.201950377999765
25,3.240949773000011
26,3.4569464259998313
27,3.461946347999856
28,4.427931373999854
29,4.463930815999902
30,4.721926815999723
31,4.912923855999907
32,4.945923343999766
33,5.127920523999819
0,2.2229632750004384
1,2.33796138300022
2,2.8789524420003545
3,2.9449513560002742
4,2.9839507100000446
5,3.174947553000038
6,3.2419464430004155
7,3.3629444450002666
8,3.368944346000262
9,3.4999421830002575
10,3.6819391760000144
11,3.752938009000445
12,4.091932408000048
13,4.131931746000191
14,4.280929287000163
15,4.311928773000091
16,4.622923634000017
17,4.726921912000307
18,4.796920760000376
19,5.062916367000071
20,5.1789144480003415
0,0.6919967829999223
1,0.7309965969998302
2,1.277994045000014
3,1.343993737999881
4,1.3899935229997027
5,1.5999925439996332
6,1.6649922409997089
7,1.78199169599975
8,1.8029915969996182
9,1.893991172999904
10,2.042990477999865
11,2.190989787000035
12,2.407988775999911
13,2.4909883840000475
14,2.597987885999828
15,2.597987885999828
16,2.774987063000026
17,2.8679866309998943
18,2.989986057999886
19,3.2599848019999627
20,3.404984124999828
21,3.5929832489996443
22,3.890981858000032
23,4.107980846999908
24,4.247980193999865
25,4.296979964999991
26,4.439979292999851
27,4.464979176999805
28,5.324975170000016
0,0.1059995059999892
1,0.16199924400007149
2,0.7639964370000598
3,0.8029962549999254
4,0.8149961989997792
5,0.9949953589998586
6,1.046995116999824
7,1.1049948459999541
8,1.1099948229998517
9,1.1879944590000378
10,1.3009939309999936
11,1.3269938100002037
12,1.4949930279999535
13,1.5199929109999175
